accession_id,name,crop,germplasm_type,source,availability,primary_traits,summary,ecological_zone,strengths,weaknesses,known_genes_qtls,markers,phenotype_evidence,genotype_evidence,breeding_use,risk_notes,source_refs,pedigree,population,maturity_group,plant_height,yield_level,quality_traits,stress_tolerance,disease_resistance,preferred_crosses,avoid_crosses,data_confidence,last_updated,notes
ICRISAT-ISe-1,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 1 is a traditional cultivar or landrace of Setaria italica from Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record; FAO in-trust status shown,No trait characterization copied into this seed row,,,Passport record lists species Setaria italica; biological status Traditional cultivar/Landrace; donor and origin country India; acquisition year 1978,no genotype evidence in passport row,diversity broadening; public accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-2,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 2 is a traditional cultivar or landrace of Setaria italica from Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record; FAO in-trust status shown,No trait characterization copied into this seed row,,,Passport record lists species Setaria italica; biological status Traditional cultivar/Landrace; donor and origin country India; acquisition year 1978,no genotype evidence in passport row,diversity broadening; public accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-3,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 3 is a traditional cultivar or landrace of Setaria italica from Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record; FAO in-trust status shown,No trait characterization copied into this seed row,,,Passport record lists species Setaria italica; biological status Traditional cultivar/Landrace; donor and origin country India; acquisition year 1978,no genotype evidence in passport row,diversity broadening; public accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-4,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 4 is a traditional cultivar or landrace from Kollipara Village in Guntur district Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record with collection site and coordinates,No trait characterization copied into this seed row,,,Passport record lists PI 464160; local name Korra; collection site Kollipara Village Guntur district; latitude 16.264 longitude 80.7591,no genotype evidence in passport row,diversity broadening; geographic-origin accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-5,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 5 is a traditional cultivar or landrace from Kollipara Village in Guntur district Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record with collection site and coordinates,No trait characterization copied into this seed row,,,Passport record lists PI 464161; local name Korra; collection site Kollipara Village Guntur district; latitude 16.264 longitude 80.7591,no genotype evidence in passport row,diversity broadening; geographic-origin accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-6,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 6 is a traditional cultivar or landrace from Kollipara Village in Guntur district Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record with collection site and coordinates,No trait characterization copied into this seed row,,,Passport record lists PI 464162; local name Korra; collection site Kollipara Village Guntur district; latitude 16.264 longitude 80.7591,no genotype evidence in passport row,diversity broadening; geographic-origin accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-7,Korra,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 7 is a traditional cultivar or landrace from Kollipara Village in Guntur district Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record with collection site and coordinates,No trait characterization copied into this seed row,,,Passport record lists PI 464163; local name Korra; collection site Kollipara Village Guntur district; latitude 16.264 longitude 80.7591,no genotype evidence in passport row,diversity broadening; geographic-origin accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-21,Kangani,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 21 is a traditional cultivar or landrace from Kollipara Village in Guntur district Andhra Pradesh India.,Andhra Pradesh India,Public genebank passport record with collection site and coordinates,No trait characterization copied into this seed row,,,Passport record lists PI 464177; local name Kangani; collection site Kollipara Village Guntur district; latitude 16.264 longitude 80.7591,no genotype evidence in passport row,diversity broadening; geographic-origin accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-22,Kaon,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 22 is a traditional cultivar or landrace of Setaria italica from West Bengal India.,West Bengal India,Public genebank passport record; FAO in-trust status shown,No trait characterization copied into this seed row,,,Passport record lists local name Kaon; donor and origin country India; acquisition year 1978,no genotype evidence in passport row,diversity broadening; public accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ICRISAT-ISe-23,Kaon,foxtail millet,landrace,ICRISAT Genebank passport,unknown,passport record; landrace diversity,ICRISAT accession ISe 23 is a traditional cultivar or landrace from Murarai Town in Birbhum district West Bengal India.,West Bengal India,Public genebank passport record with collection site and coordinates,No trait characterization copied into this seed row,,,Passport record lists PI 464179; local name Kaon; collection site Murarai Town Birbhum district; latitude 24.3802 longitude 87.852,no genotype evidence in passport row,diversity broadening; geographic-origin accession follow-up candidate,Needs trait characterization before breeding recommendation,https://genebank.icrisat.org/IND/Passport.aspx?Crop=Foxtail+millet,,,,,,,,,,,low,2026-07-18,Public seed row from ICRISAT passport page
ARCH-263A,263A,foxtail millet,semi-dwarf line,The Crop Journal 2023 plant height study,unknown,plant height; lodging risk; dense planting architecture,263A is a semi-dwarf line used with Chuang 29 to identify genes controlling foxtail millet plant height under the breeding problem of high-density planting and lodging.,study population environment,semi-dwarf architecture; useful for dwarf breeding and lodging-risk reduction,Must be checked for yield penalty and adaptation before parent use,Seita.5G404900 GA20 oxidase frameshift deletion,CAPS marker reported,Used as semi-dwarf parent in F2 populations for plant height gene discovery,Single-base deletion in Seita.5G404900 co-segregated with dwarf phenotype in two F2 populations,parent selection; dwarf allele validation; density-tolerance architecture candidate,Possible dwarfing penalty and background effects require validation,https://doi.org/10.1016/j.cj.2022.09.003,,F2 parent,,semi-dwarf,,,,,,,medium,2026-07-18,Added for foxtail millet dense-planting architecture topic
ARCH-Chuang29,Chuang 29,foxtail millet,elite high-stalk breeding variety,The Crop Journal 2023 plant height study,unknown,plant height; lodging risk; dense planting architecture,Chuang 29 is an elite high-stalk breeding variety used as the contrasting parent to 263A in foxtail millet plant height analysis.,study population environment,elite breeding background; useful contrast for plant-height genetics,High-stalk architecture may increase lodging risk under dense planting,,,Used as elite high-stalk parent in F2 populations for plant height gene discovery,no specific favorable marker copied into this seed row,parent comparison; recurrent elite background candidate after lodging screening,High plant stature needs lodging and density validation,https://doi.org/10.1016/j.cj.2022.09.003,,F2 parent,,high-stalk,,,,,,,medium,2026-07-18,Added for foxtail millet dense-planting architecture topic
ARCH-Jingu21,Jingu 21,foxtail millet,cultivar,Journal of Plant Nutrition and Fertilizers 2024 lodging study,unknown,lodging resistance; stem strength; dense planting management,Jingu 21 was one of two cultivars tested for silicon fertilizer effects on stem traits lodging resistance yield and quality under nitrogen treatments.,Taigu Shanxi field environment,Silicon treatments improved basal internode traits and lodging resistance index in the study,Management response does not prove intrinsic genetic resistance,,,Measured plant height yield quality silicon content basal internode traits photosynthesis and stem cross-section traits,no genotype evidence in this management study,cultivar management benchmark; lodging phenotyping check material,Response should not be treated as stable genetic lodging resistance without genotype and multi-environment evidence,https://www.plantnutrifert.org/en/article/Y2024/I4/641,,,,,,,,,,,medium,2026-07-18,Added for foxtail millet lodging and dense-planting management topic
ARCH-Zhangza13,Zhangza 13,foxtail millet,cultivar,Journal of Plant Nutrition and Fertilizers 2024 lodging study,unknown,lodging resistance; stem strength; dense planting management,Zhangza 13 was tested with Jingu 21 for silicon fertilizer effects on stem traits lodging resistance yield and quality under nitrogen treatments.,Taigu Shanxi field environment,Silicon treatments improved basal internode traits and lodging resistance index in the study,Management response does not prove intrinsic genetic resistance,,,Measured plant height yield quality silicon content basal internode traits photosynthesis and stem cross-section traits,no genotype evidence in this management study,cultivar management benchmark; lodging phenotyping check material,Response should not be treated as stable genetic lodging resistance without genotype and multi-environment evidence,https://www.plantnutrifert.org/en/article/Y2024/I4/641,,,,,,,,,,,medium,2026-07-18,Added for foxtail millet lodging and dense-planting management topic
ARCH-Yugu1,Yugu1,foxtail millet,reference cultivar; mapping parent,BMC Genomics 2016 high-density map and Frontiers 2019 mutant library,unknown,plant architecture; agronomic traits; mutant resource,Yugu1 is a reference cultivar used as a parent with Longgu7 for QTL mapping and as Yugu No. 1 background for an EMS mutant library containing plant-height and panicle mutants.,China breeding and genetics research context,Reference genome background; mutant library background; useful for architecture genetics,Not a direct dense-planting tolerant parent without trait-specific validation,multiple agronomic and yield QTL reported in Yugu1 x Longgu7 population,SSR markers from high-density map; EMS mutant loci available,Used in high-density genetic map and EMS mutant library with plant height and panicle morphology variation,Genetic resources reported but specific breeding markers need trait-by-trait extraction,functional genomics; QTL validation; architecture mutant donor background,Needs selection of specific mutant or allele before breeding use,https://pmc.ncbi.nlm.nih.gov/articles/PMC4857278/; https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.00369/full,,mapping parent; mutant-library background,,,,,,,,,medium,2026-07-18,Added for foxtail millet architecture genetics topic
ARCH-Longgu7,Longgu7,foxtail millet,mapping parent,BMC Genomics 2016 high-density map,unknown,agronomic traits; yield traits; peduncle length,Longgu7 was used with Yugu1 to build a high-density SSR map and identify QTL for agronomic and yield traits.,China breeding and genetics research context,Favorable QTL alleles for peduncle length were reported to originate from Longgu7 in the study,Only one mapping context copied here; needs breeding validation,agronomic and yield QTL in Yugu1 x Longgu7 population,SSR markers from high-density map,Used as mapping parent in 167-individual F2 population evaluated across two years,Genotype evidence exists at mapping-population level but specific marker extraction is needed,QTL validation; parent comparison for panicle or peduncle architecture,Peduncle-length value may have environment and background dependence,https://pmc.ncbi.nlm.nih.gov/articles/PMC4857278/,,F2 mapping parent,,,,,,,,,medium,2026-07-18,Added for foxtail millet architecture QTL topic
ARCH-Hongmiaozhangu,Hongmiaozhangu,foxtail millet,mapping parent,BMC Genomics 2017 RAD-seq QTL study,unknown,agronomic traits; yield traits; plant architecture,Hongmiaozhangu was crossed with Changnong35 to build a RAD-seq high-density map and detect major QTL for agronomic traits.,China breeding and genetics research context,Useful mapping parent for agronomic and yield trait QTL discovery,Current seed row does not identify which favorable allele is carried,11 major QTL for eight agronomic traits in Hongmiaozhangu x Changnong35 population,five co-dominant DNA markers developed in study,Used as parent of 124-individual F2 RAD-seq mapping population,Genotype evidence exists at mapping-population level but specific marker-to-parent use needs extraction,QTL validation; architecture and yield-trait genetic resource,Requires marker-specific follow-up before MAS recommendation,https://pmc.ncbi.nlm.nih.gov/articles/PMC5482450/,,F2 mapping parent,,,,,,,,,medium,2026-07-18,Added for foxtail millet architecture QTL topic
ARCH-Changnong35,Changnong35,foxtail millet,mapping parent,BMC Genomics 2017 RAD-seq QTL study,unknown,agronomic traits; yield traits; plant architecture,Changnong35 was crossed with Hongmiaozhangu to build a RAD-seq high-density map and detect major QTL for agronomic traits.,China breeding and genetics research context,Useful mapping parent for agronomic and yield trait QTL discovery,Current seed row does not identify which favorable allele is carried,11 major QTL for eight agronomic traits in Hongmiaozhangu x Changnong35 population,five co-dominant DNA markers developed in study,Used as parent of 124-individual F2 RAD-seq mapping population,Genotype evidence exists at mapping-population level but specific marker-to-parent use needs extraction,QTL validation; architecture and yield-trait genetic resource,Requires marker-specific follow-up before MAS recommendation,https://pmc.ncbi.nlm.nih.gov/articles/PMC5482450/,,F2 mapping parent,,,,,,,,,medium,2026-07-18,Added for foxtail millet architecture QTL topic
RICE-FR13A,FR13A,rice,donor accession,Nature Sub1A study,unknown,submergence tolerance; flood recovery,FR13A is the flood-tolerant donor background associated with the Sub1 locus and Sub1A-1 allele.,flood-prone lowland rice,Strong donor evidence for Sub1-mediated submergence tolerance,Not evidence of local seed availability or true-to-type identity,Sub1; Sub1A-1,Sub1A functional allele assay,Complete submergence survival and recovery reported in the Sub1 study,Published allele and donor relationship; local genotype not confirmed,Sub1 donor; marker-assisted backcrossing candidate,Background recovery and linkage drag must be checked,https://doi.org/10.1038/nature04920,,indica donor,unknown,unknown,unknown,,submergence tolerance,not a universal disease or yield claim,Sub1 recurrent-parent program,unknown donor identity or seed status,high,2026-08-04,Source-backed donor seed row; local accession confirmation required
RICE-SWARNA,Swarna,rice,elite cultivar; Sub1 derivative background,IRRI climate change-ready rice and Nature Sub1A study,unknown,submergence tolerance; irrigated lowland adaptation,Swarna is a widely used Asian rice background with a flood-tolerant Swarna-Sub1 derivative listed by IRRI.,flood-prone lowland rice,Well-documented deployment background for Sub1 introgression,Original Swarna and Swarna-Sub1 must not be treated as the same genotype,Sub1A-1 in Swarna-Sub1 derivative,Sub1A functional allele assay,Field and controlled flood validation required for the derivative,Public deployment evidence; local parental genotype not confirmed,Sub1 derivative development; recurrent-parent route,Trade-off and background effects need local testing,https://doi.org/10.1038/nature04920; https://www.knowledgebank.irri.org/step-by-step-production/pre-planting/rice-varieties/item/climate-change-ready-rice,,indica or indica-derived,unknown,unknown,unknown,,submergence tolerance,local pathogen response unknown,Swarna x local flood-tolerance donor,confuse derivative with original cultivar,high,2026-08-04,Deployment background row; derivative identity must be recorded separately
RICE-IR64,IR64,rice,elite cultivar; recurrent background,IRRI climate change-ready rice,unknown,irrigated lowland adaptation; yield stability,IR64 is an important rice breeding background and IR64-Sub1 is a flood-tolerant derivative listed by IRRI.,irrigated and flood-prone lowland,Useful recurrent-parent reference for comparing stress-introgressed derivatives,Original IR64 does not automatically carry Sub1A-1,Sub1A-1 only in IR64-Sub1 derivative,Sub1A functional assay for derivative confirmation,Requires matched control and multi-environment validation,Public cultivar and derivative record; local genotype not confirmed,Recurrent-parent comparison; stress-introgression target,Background and GxE effects may alter yield and recovery,https://www.knowledgebank.irri.org/step-by-step-production/pre-planting/rice-varieties/item/climate-change-ready-rice,,indica,unknown,unknown,unknown,,irrigated lowland adaptation,local disease response unknown,IR64 x validated donor,unverified IR64-Sub1 naming,high,2026-08-04,Original cultivar and derivative are intentionally separated
RICE-N22,N22,rice,drought-tolerance donor,IRRI rice breeding principles,unknown,drought tolerance; rainfed adaptation,N22 is cited by IRRI as a rice material associated with drought tolerance and should be treated as a donor candidate pending local verification.,rainfed or upland rice,Useful drought donor candidate for parent exploration,Specific causal allele and local yield response are not established in this seed row,unknown drought loci,unknown; phenotype-first preflight,Managed drought trial with irrigated control and yield measurement,Public donor description; no local genotype confirmation,Drought donor screening; diversity-guided crossing,Early vigor or drought response may trade off with yield and maturity,https://books.irri.org/0471097608_content.pdf,,drought donor candidate,unknown,unknown,unknown,,drought tolerance,local disease response unknown,N22 x locally adapted recurrent parent,advance without local multi-environment data,medium,2026-08-04,Donor candidate row; causal locus intentionally left unknown
RICE-POKKALI,Pokkali,rice,salt-tolerance donor landrace,IRRI rice breeding course and IRRI climate-ready rice,unknown,seedling salinity tolerance; coastal adaptation,Pokkali is a salt-tolerant rice donor reference used in salinity breeding contexts.,coastal or saline rice field,Strong salinity donor reference,Linkage drag; maturity and agronomic fit may be poor in target background,Saltol-related salinity tolerance route,Saltol-linked SSR panel,Seedling salt score plus reproductive-stage and yield validation,Public donor evidence; local accession identity and allele status not confirmed,Salinity donor; marker-assisted backcrossing candidate,Linkage drag and late maturity risk,https://www.knowledgebank.irri.org/ricebreedingcourse/Breeding_for_salt_tolerance.htm; https://www.knowledgebank.irri.org/step-by-step-production/pre-planting/rice-varieties/item/climate-change-ready-rice,,indica donor,unknown,unknown,unknown,,salinity tolerance,local disease response unknown,Pokkali x locally adapted saline-soil parent,unverified seed identity or excessive linkage drag,medium,2026-08-04,Donor reference row; seed request and genotyping required
RICE-KP,Kinandang Patong,rice,deep-rooting donor,Nature Genetics DRO1 study,unknown,drought avoidance; root growth angle,Kinandang Patong supplied a functional DRO1 allele used to increase deep rooting in a shallow-rooting rice background.,rainfed or upland rice,Direct donor evidence for a root-architecture route,Root angle benefit may not translate to local yield or soil profile,DRO1,DRO1 functional haplotype assay,Root angle or depth plus grain yield under managed drought,Published donor relationship; local genotype not confirmed,Drought avoidance introgression; root architecture validation,Background and soil-by-environment interaction risk,https://doi.org/10.1038/ng.2725,,drought donor,unknown,unknown,unknown,,drought avoidance,local disease response unknown,Kinandang Patong x locally adapted parent,advance without root and yield validation,high,2026-08-04,Direct donor row from cloning and introgression study
RICE-NIPPONBARE,Nipponbare,rice,japonica reference cultivar,3K Rice Genomes Project and rice genomics literature,unknown,genomics reference; japonica background,Nipponbare is a widely used japonica reference background for rice genomics and functional studies.,temperate japonica research context,High reference value and genomic comparability,Reference status does not imply superior field performance or local adaptation,Wx and other reference alleles,Wx GT/TT and intron-1 assay,Controlled genotype-phenotype validation required for breeding use,Genome reference evidence; local phenotype and seed status not confirmed,Functional validation; quality allele comparison,Population and adaptation mismatch risk,https://doi.org/10.1038/s41586-018-0063-9; https://pmc.ncbi.nlm.nih.gov/articles/PMC4035669/,,japonica reference,unknown,unknown,unknown,,reference genotype,local disease response unknown,Nipponbare x target quality or stress parent,using reference status as breeding proof,high,2026-08-04,Reference row for genomics-aware evidence curation
